"seqID","accessionNumber","blastHit","blastSpecies","gene","geneFamily","eValue","TPM","FPKM","assembler","output"
"TRINITY_DN1002_c1_g1::TRINITY_DN1002_c1_g1_i2::g.25069::m.25069","gi|752776401|gb|GBSH01003155.1|","TSA: Boiga irregularis Birre_XrayRepair transcribed RNA sequence","Boiga irregularis","XrayRepair transcribed RNA sequence","TBD",0,14.43,53.81,"Trinity","Merger"
"TRINITY_DN1002_c2_g1::TRINITY_DN1002_c2_g1_i2::g.25075::m.25075",NA,NA,NA,NA,NA,NA,0.53,1.96,"Trinity","Merger"
"TRINITY_DN10035_c0_g1::TRINITY_DN10035_c0_g1_i1::g.10127::m.10127","gi|752782429|gb|GBSH01000312.1|","TSA: Boiga irregularis Birre_AP-1-s3 transcribed RNA sequence","Boiga irregularis","AP-1-s3 transcribed RNA sequence","TBD",0,17.75,66.18,"Trinity","Merger"
"TRINITY_DN10037_c0_g1::TRINITY_DN10037_c0_g1_i1::g.10133::m.10133","ETE71319.1_1","Opha Citrate lyase subunit beta-like protein  ","Ophiophagus hannah","Citrate lyase subunit beta-like protein  ","TBD",1.18e-162,2.48,9.25,"Trinity","Merger"
"TRINITY_DN10038_c0_g1::TRINITY_DN10038_c0_g1_i1::g.10122::m.10122","gi|752780905|gb|GBSH01001016.1|","TSA: Boiga irregularis Birre_ExchangeTrans3 transcribed RNA sequence","Boiga irregularis","ExchangeTrans3 transcribed RNA sequence","TBD",0,1.73,6.46,"Trinity","Merger"
"TRINITY_DN10038_c0_g2::TRINITY_DN10038_c0_g2_i2::g.10123::m.10123","gi|752780905|gb|GBSH01001016.1|","TSA: Boiga irregularis Birre_ExchangeTrans3 transcribed RNA sequence","Boiga irregularis","ExchangeTrans3 transcribed RNA sequence","TBD",0,1.77,6.61,"Trinity","Merger"
"TRINITY_DN1003_c0_g1::TRINITY_DN1003_c0_g1_i2::g.25231::m.25231","ETE62656.1_1","Opha Polypeptide N-acetylgalactosaminyltransferase 1  ","Ophiophagus hannah","Polypeptide N-acetylgalactosaminyltransferase 1  ","TBD",0,2.73,10.16,"Trinity","Merger"
"TRINITY_DN1003_c1_g1::TRINITY_DN1003_c1_g1_i1::g.25236::m.25236","gi|752778926|gb|GBSH01001996.1|","TSA: Boiga irregularis Birre_PlasminogenAct1 transcribed RNA sequence","Boiga irregularis","PlasminogenAct1 transcribed RNA sequence","TBD",0,25.48,95,"Trinity","Merger"
"TRINITY_DN1003_c1_g1::TRINITY_DN1003_c1_g1_i4::g.25233::m.25233","gi|752778926|gb|GBSH01001996.1|","TSA: Boiga irregularis Birre_PlasminogenAct1 transcribed RNA sequence","Boiga irregularis","PlasminogenAct1 transcribed RNA sequence","TBD",0,3.44,12.82,"Trinity","Merger"
"TRINITY_DN1003_c1_g1::TRINITY_DN1003_c1_g1_i6::g.25237::m.25237","gi|752778926|gb|GBSH01001996.1|","TSA: Boiga irregularis Birre_PlasminogenAct1 transcribed RNA sequence","Boiga irregularis","PlasminogenAct1 transcribed RNA sequence","TBD",0,11.16,41.6,"Trinity","Merger"
"TRINITY_DN1003_c1_g2::TRINITY_DN1003_c1_g2_i1::g.25238::m.25238","ETE61496.1_1","Opha WW domain-binding protein 11  ","Ophiophagus hannah","WW domain-binding protein 11  ","TBD",0,2.27,8.48,"Trinity","Merger"
"TRINITY_DN1003_c2_g1::TRINITY_DN1003_c2_g1_i2::g.25243::m.25243","ETE56237.1_1","Opha hypothetical protein  ","Ophiophagus hannah","hypothetical protein  ","TBD",2.36e-141,6.22,23.19,"Trinity","Merger"
"TRINITY_DN10042_c0_g1::TRINITY_DN10042_c0_g1_i3::g.10145::m.10145","gi|537458480|gb|GAEP01001328.1|","TSA: Micrurus fulvius Mfulv_RNAHelicase-DDX46 mRNA sequence","Micrurus fulvius","RNAHelicase-DDX46 mRNA sequence","TBD",0,9.77,36.43,"Trinity","Merger"
"TRINITY_DN10044_c0_g1::TRINITY_DN10044_c0_g1_i5::g.10137::m.10137","gi|752782705|gb|GBSH01000174.1|","TSA: Boiga irregularis Birre_aCoA5 transcribed RNA sequence","Boiga irregularis","aCoA5 transcribed RNA sequence","TBD",0,5.26,19.6,"Trinity","Merger"
"TRINITY_DN10047_c0_g1::TRINITY_DN10047_c0_g1_i1::g.10132::m.10132",NA,NA,NA,NA,NA,NA,4.4,16.39,"Trinity","Merger"
"TRINITY_DN10047_c0_g1::TRINITY_DN10047_c0_g1_i4::g.10131::m.10131",NA,NA,NA,NA,NA,NA,1.02,3.8,"Trinity","Merger"
"TRINITY_DN10047_c0_g1::TRINITY_DN10047_c0_g1_i5::g.10130::m.10130",NA,NA,NA,NA,NA,NA,2.72,10.14,"Trinity","Merger"
"TRINITY_DN10049_c0_g1::TRINITY_DN10049_c0_g1_i1::g.10149::m.10149","ETE66896.1_1","Opha hypothetical protein  ","Ophiophagus hannah","hypothetical protein  ","TBD",0,3.96,14.77,"Trinity","Merger"
"TRINITY_DN1004_c0_g1::TRINITY_DN1004_c0_g1_i2::g.25300::m.25300","gi|752776452|gb|GBSH01003131.1|","TSA: Boiga irregularis Birre_WD1-1 transcribed RNA sequence","Boiga irregularis","WD1-1 transcribed RNA sequence","TBD",0,4.21,15.68,"Trinity","Merger"
"TRINITY_DN1004_c0_g1::TRINITY_DN1004_c0_g1_i7::g.25299::m.25299","ETE63568.1_1","Opha Collagen alpha-2(I) chain  ","Ophiophagus hannah","Collagen alpha-2(I) chain  ","TBD",0,9.45,35.22,"Trinity","Merger"
"TRINITY_DN10050_c0_g2::TRINITY_DN10050_c0_g2_i1::g.10144::m.10144","gi|752781408|gb|GBSH01000780.1|","TSA: Boiga irregularis Birre_Cytb561 transcribed RNA sequence","Boiga irregularis","Cytb561 transcribed RNA sequence","TBD",0,3,11.17,"Trinity","Merger"
"TRINITY_DN10053_c0_g1::TRINITY_DN10053_c0_g1_i1::g.10159::m.10159",NA,NA,NA,NA,NA,NA,0.75,2.81,"Trinity","Merger"
"TRINITY_DN10053_c0_g1::TRINITY_DN10053_c0_g1_i2::g.10160::m.10160",NA,NA,NA,NA,NA,NA,2.1,7.83,"Trinity","Merger"
"TRINITY_DN10057_c0_g1::TRINITY_DN10057_c0_g1_i1::g.10143::m.10143","ETE63278.1_1","Opha EF-hand domain-containing protein  ","Ophiophagus hannah","EF-hand domain-containing protein  ","TBD",0,3.58,13.33,"Trinity","Merger"
"TRINITY_DN1005_c0_g1::TRINITY_DN1005_c0_g1_i17::g.25311::m.25311",NA,NA,NA,NA,NA,NA,11.33,42.22,"Trinity","Merger"
"TRINITY_DN1005_c0_g1::TRINITY_DN1005_c0_g1_i4::g.25314::m.25314",NA,NA,NA,NA,NA,NA,12.74,47.49,"Trinity","Merger"
"TRINITY_DN1005_c0_g1::TRINITY_DN1005_c0_g1_i7::g.25310::m.25310",NA,NA,NA,NA,NA,NA,2.97,11.07,"Trinity","Merger"
"TRINITY_DN1005_c9_g1::TRINITY_DN1005_c9_g1_i1::g.25317::m.25317",NA,NA,NA,NA,NA,NA,7.21,26.87,"Trinity","Merger"
"TRINITY_DN10062_c0_g1::TRINITY_DN10062_c0_g1_i1::g.10147::m.10147",NA,NA,NA,NA,NA,NA,0.65,2.42,"Trinity","Merger"
"TRINITY_DN10069_c0_g2::TRINITY_DN10069_c0_g2_i2::g.10150::m.10150","ETE73336.1_1","Opha Terminal uridylyltransferase 4  ","Ophiophagus hannah","Terminal uridylyltransferase 4  ","TBD",0,3.47,12.94,"Trinity","Merger"
"TRINITY_DN1006_c2_g2::TRINITY_DN1006_c2_g2_i3::g.25134::m.25134","ETE66471.1_1","Opha Solute carrier family 15 member 2 ","Ophiophagus hannah","Solute carrier family 15 member 2 ","TBD",0,14.34,53.45,"Trinity","Merger"
"TRINITY_DN1006_c3_g1::TRINITY_DN1006_c3_g1_i3::g.25138::m.25138","ETE66471.1_1","Opha Solute carrier family 15 member 2 ","Ophiophagus hannah","Solute carrier family 15 member 2 ","TBD",3.43e-20,1.26,4.68,"Trinity","Merger"
"TRINITY_DN1006_c3_g1::TRINITY_DN1006_c3_g1_i5::g.25136::m.25136","ETE66471.1_1","Opha Solute carrier family 15 member 2 ","Ophiophagus hannah","Solute carrier family 15 member 2 ","TBD",7.31e-118,19.05,71,"Trinity","Merger"
"TRINITY_DN10072_c0_g1::TRINITY_DN10072_c0_g1_i1::g.10167::m.10167","ETE64168.1_1","Opha Dynein heavy chain 11, axonemal  ","Ophiophagus hannah","Dynein heavy chain 11, axonemal  ","TBD",1.12e-98,0.96,3.59,"Trinity","Merger"
"TRINITY_DN10083_c0_g1::TRINITY_DN10083_c0_g1_i1::g.10140::m.10140","gi|387019110|gb|JU176150.1|","TSA: Crotalus adamanteus Cadam_Thioredoxin12, mRNA sequence","Crotalus adamanteus","Thioredoxin12, mRNA sequence","TBD",0,5.18,19.32,"Trinity","Merger"
"TRINITY_DN10085_c0_g1::TRINITY_DN10085_c0_g1_i2::g.10134::m.10134","gi|537467012|gb|GAEP01000279.1|","TSA: Micrurus fulvius Mfulv_Carrier1 mRNA sequence","Micrurus fulvius","Carrier1 mRNA sequence","TBD",2.28e-86,1.02,3.8,"Trinity","Merger"
"TRINITY_DN10086_c0_g1::TRINITY_DN10086_c0_g1_i1::g.10135::m.10135",NA,NA,NA,NA,NA,NA,2.27,8.46,"Trinity","Merger"
"TRINITY_DN1008_c0_g1::TRINITY_DN1008_c0_g1_i2::g.25051::m.25051","ETE66558.1_1","Opha putative protein C9orf9  ","Ophiophagus hannah","putative protein C9orf9  ","TBD",0,9.04,33.69,"Trinity","Merger"
"TRINITY_DN1008_c2_g1::TRINITY_DN1008_c2_g1_i1::g.25054::m.25054","ETE66142.1_1","Opha Dihydrofolate reductase  ","Ophiophagus hannah","Dihydrofolate reductase  ","TBD",5.43e-113,1.61,5.98,"Trinity","Merger"
"TRINITY_DN10091_c0_g1::TRINITY_DN10091_c0_g1_i2::g.10153::m.10153","gi|537465666|gb|GAEP01000510.1|","TSA: Micrurus fulvius Mfulv_EFTu mRNA sequence","Micrurus fulvius","EFTu mRNA sequence","TBD",0,6.95,25.9,"Trinity","Merger"
"TRINITY_DN10091_c0_g1::TRINITY_DN10091_c0_g1_i4::g.10154::m.10154","gi|699235232|gb|GBSI01000765.1|","Htorq_Dymeclin transcribed RNA sequence","Hypsiglena sp","Dymeclin transcribed RNA sequence","TBD",0,2.89,10.76,"Trinity","Merger"
"TRINITY_DN10092_c0_g1::TRINITY_DN10092_c0_g1_i2::g.10128::m.10128",NA,NA,NA,NA,NA,NA,3.26,12.14,"Trinity","Merger"
"TRINITY_DN10093_c0_g2::TRINITY_DN10093_c0_g2_i1::g.10125::m.10125","gi|752776373|gb|GBSH01003168.1|","TSA: Boiga irregularis Birre_ZDHHC3 transcribed RNA sequence","Boiga irregularis","ZDHHC3 transcribed RNA sequence","TBD",0,1.79,6.65,"Trinity","Merger"
"TRINITY_DN10094_c0_g1::TRINITY_DN10094_c0_g1_i1::g.10151::m.10151","gi|752777727|gb|GBSH01002545.1|","TSA: Boiga irregularis Birre_SignalRecPart-a transcribed RNA sequence","Boiga irregularis","SignalRecPart-a transcribed RNA sequence","TBD",0,2.94,10.96,"Trinity","Merger"
"TRINITY_DN10099_c0_g1::TRINITY_DN10099_c0_g1_i1::g.10163::m.10163","ETE60661.1_1","Opha Angiomotin  ","Ophiophagus hannah","Angiomotin  ","TBD",0,1.55,5.76,"Trinity","Merger"
"TRINITY_DN10099_c1_g1::TRINITY_DN10099_c1_g1_i1::g.10166::m.10166",NA,NA,NA,NA,NA,NA,1.27,4.73,"Trinity","Merger"
"TRINITY_DN1009_c0_g1::TRINITY_DN1009_c0_g1_i1::g.25081::m.25081","gi|752778402|gb|GBSH01002244.1|","TSA: Boiga irregularis Birre_Rheb transcribed RNA sequence","Boiga irregularis","Rheb transcribed RNA sequence","TBD",0,22.58,84.17,"Trinity","Merger"
"TRINITY_DN1009_c0_g1::TRINITY_DN1009_c0_g1_i3::g.25082::m.25082","ETE63426.1_1","Opha GTP-binding protein Rheb  ","Ophiophagus hannah","GTP-binding protein Rheb  ","TBD",1.71e-87,2.72,10.14,"Trinity","Merger"
"TRINITY_DN100_c0_g1::TRINITY_DN100_c0_g1_i1::g.18370::m.18370","gi|699234792|gb|GBSI01000985.1|","Htorq_GlycolipidTransfer transcribed RNA sequence","Hypsiglena sp","GlycolipidTransfer transcribed RNA sequence","TBD",0,2.57,9.56,"Trinity","Merger"
"TRINITY_DN100_c0_g1::TRINITY_DN100_c0_g1_i4::g.18369::m.18369","gi|699234792|gb|GBSI01000985.1|","Htorq_GlycolipidTransfer transcribed RNA sequence","Hypsiglena sp","GlycolipidTransfer transcribed RNA sequence","TBD",3.21e-149,1.63,6.06,"Trinity","Merger"
"TRINITY_DN100_c0_g3::TRINITY_DN100_c0_g3_i11::g.18371::m.18371","ETE64044.1_1","Opha Serine/threonine-protein kinase PRP4-like protein  ","Ophiophagus hannah","Serine/threonine-protein kinase PRP4-like protein  ","TBD",0,1.42,5.31,"Trinity","Merger"
"TRINITY_DN100_c0_g3::TRINITY_DN100_c0_g3_i12::g.18375::m.18375","ETE64044.1_1","Opha Serine/threonine-protein kinase PRP4-like protein  ","Ophiophagus hannah","Serine/threonine-protein kinase PRP4-like protein  ","TBD",0,7.64,28.48,"Trinity","Merger"
"TRINITY_DN100_c0_g4::TRINITY_DN100_c0_g4_i1::g.18376::m.18376","ETE64044.1_1","Opha Serine/threonine-protein kinase PRP4-like protein  ","Ophiophagus hannah","Serine/threonine-protein kinase PRP4-like protein  ","TBD",0,2.15,8,"Trinity","Merger"
"TRINITY_DN10100_c0_g1::TRINITY_DN10100_c0_g1_i2::g.28432::m.28432","ETE73386.1_1","Opha WD repeat-containing protein 65  ","Ophiophagus hannah","WD repeat-containing protein 65  ","TBD",0,0.83,3.08,"Trinity","Merger"
"TRINITY_DN10102_c0_g1::TRINITY_DN10102_c0_g1_i4::g.28423::m.28423",NA,NA,NA,NA,NA,NA,1.15,4.3,"Trinity","Merger"
"TRINITY_DN10102_c0_g1::TRINITY_DN10102_c0_g1_i6::g.28427::m.28427",NA,NA,NA,NA,NA,NA,6.93,25.82,"Trinity","Merger"
"TRINITY_DN10102_c0_g1::TRINITY_DN10102_c0_g1_i8::g.28425::m.28425",NA,NA,NA,NA,NA,NA,16.19,60.35,"Trinity","Merger"
"TRINITY_DN10102_c1_g1::TRINITY_DN10102_c1_g1_i4::g.28430::m.28430","ETE69065.1_1","Opha Vps27 ","Ophiophagus hannah","Vps27 ","TBD",5.48e-96,5.54,20.64,"Trinity","Merger"
"TRINITY_DN10104_c0_g1::TRINITY_DN10104_c0_g1_i1::g.28410::m.28410","ETE60323.1_1","Opha hypothetical protein  ","Ophiophagus hannah","hypothetical protein  ","TBD",1e-23,3.17,11.82,"Trinity","Merger"
"TRINITY_DN10109_c0_g1::TRINITY_DN10109_c0_g1_i2::g.28416::m.28416","gi|521752576|gb|GAAZ01003000.1|","TSA: Crotalus horridus Chorr_ZF-CCHC8 mRNA sequence","Crotalus horridus","ZF-CCHC8 mRNA sequence","TBD",0,1.1,4.11,"Trinity","Merger"
"TRINITY_DN1010_c0_g1::TRINITY_DN1010_c0_g1_i2::g.25159::m.25159",NA,NA,NA,NA,NA,NA,6.01,22.4,"Trinity","Merger"
"TRINITY_DN10114_c0_g1::TRINITY_DN10114_c0_g1_i1::g.28457::m.28457","ETE64948.1_1","Opha tRNA (guanine-N(7)-)-methyltransferase  ","Ophiophagus hannah","tRNA (guanine-N(7)-)-methyltransferase  ","TBD",2.02e-100,2.14,7.98,"Trinity","Merger"
"TRINITY_DN10114_c0_g1::TRINITY_DN10114_c0_g1_i2::g.28456::m.28456","ETE64948.1_1","Opha tRNA (guanine-N(7)-)-methyltransferase  ","Ophiophagus hannah","tRNA (guanine-N(7)-)-methyltransferase  ","TBD",5.09e-136,0,0,"Trinity","Merger"
"TRINITY_DN10114_c0_g2::TRINITY_DN10114_c0_g2_i1::g.28458::m.28458","ETE64948.1_1","Opha tRNA (guanine-N(7)-)-methyltransferase  ","Ophiophagus hannah","tRNA (guanine-N(7)-)-methyltransferase  ","TBD",1.09e-117,1.78,6.63,"Trinity","Merger"
"TRINITY_DN10117_c0_g1::TRINITY_DN10117_c0_g1_i1::g.28473::m.28473","ETE73268.1_1","Opha La-related protein 6  ","Ophiophagus hannah","La-related protein 6  ","TBD",9.7e-75,1.23,4.59,"Trinity","Merger"
"TRINITY_DN10118_c0_g1::TRINITY_DN10118_c0_g1_i1::g.28450::m.28450","ETE66121.1_1","Opha Ephrin type-A receptor 2  ","Ophiophagus hannah","Ephrin type-A receptor 2  ","TBD",1.08e-137,0,0,"Trinity","Merger"
"TRINITY_DN10122_c0_g1::TRINITY_DN10122_c0_g1_i4::g.28484::m.28484",NA,NA,NA,NA,NA,NA,0.98,3.65,"Trinity","Merger"
"TRINITY_DN10129_c0_g1::TRINITY_DN10129_c0_g1_i1::g.28469::m.28469","ETE71772.1_1","Opha hypothetical protein  ","Ophiophagus hannah","hypothetical protein  ","TBD",1.2e-102,4.39,16.37,"Trinity","Merger"
"TRINITY_DN10129_c0_g1::TRINITY_DN10129_c0_g1_i2::g.28470::m.28470","ETE71772.1_1","Opha hypothetical protein  ","Ophiophagus hannah","hypothetical protein  ","TBD",2.36e-129,0,0,"Trinity","Merger"
"TRINITY_DN10129_c0_g2::TRINITY_DN10129_c0_g2_i1::g.28471::m.28471","ETE71772.1_1","Opha hypothetical protein  ","Ophiophagus hannah","hypothetical protein  ","TBD",1.37e-126,0.92,3.42,"Trinity","Merger"
"TRINITY_DN1012_c0_g1::TRINITY_DN1012_c0_g1_i1::g.25298::m.25298","gi|521758372|gb|GAAZ01000924.1|","TSA: Crotalus horridus Chorr_Folliculin mRNA sequence","Crotalus horridus","Folliculin mRNA sequence","TBD",0,2.93,10.94,"Trinity","Merger"
"TRINITY_DN10130_c0_g1::TRINITY_DN10130_c0_g1_i1::g.28464::m.28464","ETE66292.1_1","Opha Centrosomal protein  ","Ophiophagus hannah","Centrosomal protein  ","TBD",9.96e-169,1,3.72,"Trinity","Merger"
"TRINITY_DN10131_c0_g1::TRINITY_DN10131_c0_g1_i3::g.28491::m.28491","ETE62674.1_1","Opha Nuclear pore complex protein ","Ophiophagus hannah","Nuclear pore complex protein ","TBD",0,1.28,4.78,"Trinity","Merger"
"TRINITY_DN10132_c0_g1::TRINITY_DN10132_c0_g1_i3::g.28462::m.28462","ETE73917.1_1","Opha Kelch-like ECH-associated protein 1  ","Ophiophagus hannah","Kelch-like ECH-associated protein 1  ","TBD",0,0.54,2,"Trinity","Merger"
"TRINITY_DN10132_c0_g1::TRINITY_DN10132_c0_g1_i4::g.28461::m.28461","ETE73917.1_1","Opha Kelch-like ECH-associated protein 1  ","Ophiophagus hannah","Kelch-like ECH-associated protein 1  ","TBD",0,0.27,0.99,"Trinity","Merger"
"TRINITY_DN10132_c0_g1::TRINITY_DN10132_c0_g1_i5::g.28463::m.28463","ETE73917.1_1","Opha Kelch-like ECH-associated protein 1  ","Ophiophagus hannah","Kelch-like ECH-associated protein 1  ","TBD",9.73e-129,0,0,"Trinity","Merger"
